price,bedroom,bathroom,area(sqft),country,city,address,propert_type,purpose,furnishing,completion_status,handover,project_name
1800000.0,3.0,4.0,1208.0, UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Townhouse,Sale,Unfurnished,Off-Plan,Q2 2025,Camelia Villas
325000.0,2.0,1.0,483.0, UAE, Dubai, International City,Apartment,Sale,Unfurnished,Ready,Q2 2025,Camelia Villas
470000.0,2.0,1.0,428.0, UAE, Dubai, Arjan,Apartment,Sale,Furnished,Ready,Q2 2025,Camelia Villas
1120000.0,1.0,1.0,706.0, UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,Camelia Villas
2127888.0,2.0,2.0,1149.0, UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,Camelia Villas
2452888.0,3.0,4.0,1572.0, UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,Camelia Villas
1740000.0,2.0,3.0,1333.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off-Plan,Q4 2024,Binghatti Azure
1250000.0,1.0,2.0,1001.0, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2024,Scala Tower
4304444.0,3.0,4.0,1842.0, UAE, Dubai, Dubai Islands,Apartment,Sale,Furnished,Off-Plan,Q4 2026,Ocean Pearl by SD
300000.0,2.0,1.0,474.0, UAE, Dubai, International City,Apartment,Sale,Unfurnished,Ready,Q4 2026,Ocean Pearl by SD
508000.0,1.0,2.0,675.0, UAE, Dubai, Dubai Investment Park (DIP),Apartment,Sale,Unfurnished,Off-Plan,Q2 2026,Verdana Residence 2
666000.0,2.0,3.0,923.0, UAE, Dubai, Dubai Investment Park (DIP),Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,Verdana Residence
1017000.0,2.0,3.0,1820.0, UAE, Dubai, Dubai Investment Park (DIP),Townhouse,Sale,Unfurnished,Off-Plan,Q4 2025,Verdana
2800000.0,2.0,2.0,1202.0, UAE, Dubai, Sobha Hartland,Apartment,Sale,Furnished,Off-Plan,Q4 2025,The Highbury
1500000.0,1.0,2.0,871.0, UAE, Dubai, Arjan,Apartment,Sale,Furnished,Off-Plan,Q2 2026,Samana Skyros
600000.0,2.0,1.0,441.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Ready,Q2 2026,Samana Skyros
855000.0,2.0,1.0,415.0, UAE, Dubai, Al Jaddaf,Apartment,Sale,Unfurnished,Off-Plan,Q1 2026,Binghatti Starlight
3608000.0,2.0,3.0,1366.0, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Off-Plan,Q4 2026,Canal Heights
660000.0,2.0,1.0,332.0, UAE, Dubai, Dubai South,Apartment,Sale,Furnished,Off-Plan,Q4 2025,AZIZI VENICE 2
4776667.0,4.0,5.0,1973.0, UAE, Dubai, Dubai Islands,Apartment,Sale,Furnished,Off-Plan,Q4 2026,Ocean Pearl by SD
1624130.0,2.0,3.0,1228.0, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Furnished,Off-Plan,Q4 2027,Samana Avenue
1094000.0,1.0,2.0,844.0, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Furnished,Off-Plan,Q3 2027,Samana Park Meadows
1476722.0,1.0,2.0,848.0, UAE, Dubai, Majan,Apartment,Sale,Furnished,Off-Plan,Q2 2027,Samana Barari Views
1000000.0,1.0,2.0,921.0, UAE, Dubai, Majan,Apartment,Sale,Furnished,Ready,Q2 2027,The 50
990900.0,1.0,2.0,714.0, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Furnished,Off-Plan,Q1 2027,Coventry Gardens
525000.0,2.0,1.0,490.0, UAE, Dubai, Discovery Gardens,Apartment,Sale,Furnished,Ready,Q1 2027,Coventry Gardens
2124998.0,2.0,2.0,2016.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,Aurora by Binghatti
545000.0,2.0,1.0,454.0, UAE, Dubai, Dubai Sports City,Apartment,Sale,Furnished,Ready,Q4 2025,Giovanni Boutique Suites
2800000.0,1.0,2.0,1937.0, UAE, Dubai, Jumeirah Village Triangle (JVT),Townhouse,Sale,Unfurnished,Ready,Q4 2025,JVT District 3
1250000.0,1.0,2.0,977.0, UAE, Dubai, Culture Village (Jaddaf Waterfront),Apartment,Sale,Unfurnished,Ready,Q4 2025,JVT District 3
1550000.0,3.0,3.0,1944.0, UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Villa,Sale,Furnished,Ready,Q4 2025,Amazonia
3850000.0,2.0,3.0,1493.0, UAE, Dubai, Dubai Hills Estate,Apartment,Sale,Unfurnished,Ready,Q4 2025,Amazonia
2100000.0,1.0,2.0,908.0, UAE, Dubai, Dubai Hills Estate,Apartment,Sale,Unfurnished,Ready,Q4 2025,Amazonia
2650000.0,3.0,4.0,2200.0, UAE, Dubai, Town Square,Townhouse,Sale,Unfurnished,Ready,Q4 2025,Safi Townhouses
7200000.0,2.0,3.0,1410.0, UAE, Dubai, Jumeirah Beach Residence (JBR),Apartment,Sale,Unfurnished,Ready,Q4 2025,La Vie
2000000.0,2.0,4.0,1509.0, UAE, Dubai, Jumeirah Village Triangle (JVT),Apartment,Sale,Furnished,Ready,Q4 2025,555 PARK VIEWS
